FID	SHAPE	TBBH	DLMC	TBMJ	Shape_Leng	Shape_Area
95	POLYGON ((11136297.9365 2711564.2728,11136286.1718 2711561.2351,11136243.3604 2711550.2218,11136238.9859 2711572.6907,11136235.4288 2711580.1231,11136242.9141 2711583.4038,11136254.2379 2711596.3477,11136266.6036 2711604.7651,11136276.1079 2711609.1047,11136276.0898 2711608.8962,11136272.8652 2711600.4274,11136274.1898 2711596.0839,11136278.6973 2711591.7541,11136286.9654 2711585.8837,11136292.6309 2711578.1127,11136297.9365 2711564.2728))	533	园地	840.21	192.905530056	2015.4974878
96	POLYGON ((11137026.0269 2711354.917,11137020.7117 2711355.6384,11137010.2362 2711356.8927,11136990.9462 2711361.8531,11136989.298 2711362.4055,11136971.5088 2711368.3635,11136968.0827 2711369.5104,11136962.0562 2711370.8216,11136948.04 2711373.8699,11136937.1838 2711375.6653,11136930.9236 2711375.8169,11136925.2318 2711375.9551,11136916.5118 2711376.1669,11136901.0775 2711375.9319,11136891.8259 2711376.2567,11136874.9941 2711377.7465,11136853.3191 2711379.6648,11136842.3792 2711383.2605,11136839.3408 2711384.6646,11136833.4532 2711386.9522,11136832.755 2711387.2236,11136826.0662 2711389.3279,11136831.3291 2711411.617,11136831.5521 2711415.3286,11136832.9923 2711439.3057,11136834.4235 2711463.1449,11136833.8153 2711497.5593,11136838.0893 2711539.0564,11136850.9709 2711570.3348,11136858.5943 2711571.3235,11136866.9845 2711573.0809,11136879.3145 2711575.6635,11136911.9617 2711575.6844,11136922.8113 2711575.5936,11136926.7186 2711579.8236,11136927.4968 2711585.7244,11136927.4917 2711595.6561,11136928.7277 2711602.0625,11136928.9529 2711603.2285,11136933.1515 2711609.7202,11136949.0485 2711613.3612,11136949.8396 2711598.813,11136949.8493 2711583.6991,11136954.581 2711567.7264,11136968.3254 2711553.0544,11136981.6265 2711562.1307,11136984.2861 2711564.8095,11136992.3851 2711564.0369,11136995.0692 2711560.6807,11137002.15 2711550.4558,11137004.3163 2711543.4688,11137004.1158 2711535.5176,11137000.1983 2711527.9457,11136988.7637 2711522.1676,11136974.7417 2711511.8461,11136963.9217 2711509.8872,11136955.5162 2711515.8909,11136951.0555 2711523.2658,11136945.5736 2711529.5214,11136938.0473 2711533.3029,11136914.1114 2711547.5045,11136902.076 2711552.0603,11136894.4674 2711556.6366,11136881.0189 2711559.1189,11136869.8453 2711548.0944,11136862.3318 2711531.6803,11136856.6321 2711499.2126,11136862.5671 2711480.3162,11136871.4679 2711469.8615,11136884.4768 2711459.9025,11136899.5373 2711450.59,11136919.6164 2711449.8879,11136946.8029 2711450.8089,11136960.5119 2711460.5733,11136967.239 2711475.8711,11136973.3486 2711487.9857,11136990.0762 2711494.4242,11137033.151 2711512.2746,11137044.2804 2711532.9996,11137045.9235 2711553.9981,11137029.5493 2711574.1192,11137022.9115 2711580.8514,11137022.9478 2711587.3068,11137027.6105 2711591.0497,11137031.8267 2711593.2526,11137045.1324 2711594.1243,11137049.8536 2711594.1269,11137067.0274 2711588.5249,11137072.6117 2711580.7565,11137078.1977 2711571.2599,11137082.9233 2711565.6496,11137085.0738 2711560.038,11137085.0791 2711550.9698,11137085.0835 2711545.3569,11137082.944 2711533.6957,11137079.517 2711522.4678,11137071.3673 2711512.9623,11137056.7844 2711496.1137,11137040.9107 2711482.2857,11137020.5573 2711471.1772,11136990.1657 2711452.3446,11136980.7059 2711445.4428,11136975.4866 2711439.3654,11136975.4475 2711439.3139,11136972.8783 2711435.9173,11136972.5588 2711425.4092,11136973.3506 2711420.4519,11136974.7774 2711415.3372,11136977.4334 2711405.8176,11137002.7692 2711387.9141,11137009.6373 2711387.4863,11137020.3691 2711386.4138,11137028.958 2711378.8635,11137030.682 2711369.1483,11137026.0269 2711354.917))	556	旱地	1329.78	1543.14282537	28196.6168258
97	POLYGON ((11136308.1626 2711566.9133,11136297.9365 2711564.2728,11136292.6309 2711578.1127,11136286.9654 2711585.8837,11136278.6973 2711591.7541,11136274.1898 2711596.0839,11136272.8652 2711600.4274,11136276.0898 2711608.8962,11136276.1079 2711609.1047,11136288.0772 2711614.5694,11136309.6712 2711616.923,11136309.5905 2711615.9886,11136308.9124 2711603.8382,11136309.4811 2711595.4684,11136309.0833 2711584.5089,11136308.1626 2711566.9133))	534	园地	1563.9	150.165389623	1243.84285249
98	POLYGON ((11137156.511 2711608.4783,11137151.4948 2711594.879,11137152.0198 2711583.9087,11137149.5385 2711568.2232,11137147.4373 2711566.0771,11137141.2043 2711563.5037,11137129.2824 2711560.6656,11137120.1141 2711560.6232,11137114.0143 2711563.5372,11137108.3535 2711574.0862,11137109.7292 2711584.5885,11137113.8545 2711598.5225,11137120.9108 2711611.1181,11137127.422 2711621.6207,11137131.981 2711619.0212,11137143.5996 2711610.1275,11137156.511 2711608.4783))	507	农村居民点用地	22038.59	176.075262408	2014.01174408
99	POLYGON ((11136276.1079 2711609.1047,11136266.6036 2711604.7651,11136254.2379 2711596.3477,11136242.9141 2711583.4038,11136235.4288 2711580.1231,11136231.6766 2711583.0585,11136223.2099 2711591.0109,11136210.5726 2711600.0169,11136199.3063 2711605.9096,11136198.1746 2711606.4141,11136209.6947 2711617.5806,11136231.0306 2711630.2763,11136255.9636 2711638.1892,11136273.987 2711638.2113,11136273.7531 2711637.7774,11136273.7823 2711631.457,11136274.8524 2711629.3288,11136276.6781 2711622.7711,11136276.7099 2711615.8757,11136276.1079 2711609.1047))	533	园地	840.21	211.377666279	2629.61304567
100	POLYGON ((11136690.4591 2711581.0317,11136684.0253 2711578.4571,11136679.6985 2711579.0943,11136669.7331 2711581.4281,11136664.3382 2711583.5373,11136658.0225 2711590.895,11136652.5973 2711599.5692,11136651.501 2711607.1981,11136654.4833 2711615.2552,11136659.4319 2711621.5164,11136668.4547 2711628.9454,11136680.7382 2711636.8,11136691.8884 2711641.1107,11136691.8979 2711641.114,11136692.7679 2711641.3756,11136698.7974 2711639.6797,11136702.3779 2711636.6205,11136704.5801 2711631.0862,11136706.237 2711623.3124,11136708.2235 2711614.3283,11136711.5916 2711607.3074,11136712.2415 2711596.7331,11136711.3096 2711587.9684,11136706.5543 2711584.4986,11136701.6475 2711583.7298,11136691.8965 2711581.2649,11136690.4591 2711581.0317))	547	旱地	2436.89	194.319821735	2766.82089011
101	POLYGON ((11136575.5701 2711637.1137,11136597.2735 2711642.7176,11136597.8421 2711636.6605,11136598.9194 2711632.9719,11136601.5514 2711628.4699,11136606.471 2711623.2399,11136613.0163 2711619.331,11136619.8836 2711616.3256,11136624.8748 2711613.3125,11136627.7542 2711608.1543,11136623.608 2711604.8519,11136616.5299 2711600.3047,11136605.9334 2711598.0399,11136593.693 2711598.3934,11136585.0491 2711597.2855,11136582.4668 2711591.1999,11136584.0466 2711584.7232,11136592.2418 2711576.8816,11136595.1212 2711571.7245,11136594.2454 2711566.9592,11136589.9525 2711560.2095,11136581.317 2711557.2965,11136570.5187 2711563.3199,11136565.9075 2711572.6552,11136566.3502 2711582.6713,11136563.0545 2711589.6326,11136562.7724 2711597.8391,11136563.649 2711602.4388,11136567.0514 2711607.6262,11136572.0165 2711610.2752,11136577.2211 2711613.9929,11136581.4152 2711624.6827,11136575.5701 2711637.1137))	484	农村居民点用地	43601.96	266.433420538	2448.09210351
102	POLYGON ((11136309.6712 2711616.923,11136288.0772 2711614.5694,11136276.1079 2711609.1047,11136276.7099 2711615.8757,11136276.6781 2711622.7711,11136274.8524 2711629.3288,11136273.7823 2711631.457,11136273.7531 2711637.7774,11136273.987 2711638.2113,11136274.669 2711638.2124,11136291.6309 2711644.0531,11136304.2114 2711644.5927,11136306.9069 2711640.6403,11136309.7248 2711631.0915,11136310.4043 2711625.4314,11136309.6712 2711616.923))	534	园地	1563.9	124.769464645	953.965453833
103	POLYGON ((11136789.3287 2711628.9692,11136791.1474 2711631.0627,11136791.8379 2711635.9479,11136792.4702 2711646.7985,11136803.121 2711646.4995,11136814.1215 2711646.1904,11136827.8527 2711647.6263,11136837.8727 2711648.6742,11136840.7953 2711640.1015,11136840.8391 2711630.5558,11136840.8965 2711618.0348,11136837.9553 2711614.4259,11136827.4979 2711610.5343,11136818.7454 2711611.1135,11136815.1613 2711613.3284,11136812.1747 2711619.6372,11136808.209 2711624.4537,11136800.6735 2711628.3859,11136789.3287 2711628.9692))	536	园地	1696.13	157.117767838	1391.93176147
104	POLYGON ((11136792.4702 2711646.7985,11136791.8379 2711635.9479,11136791.1474 2711631.0627,11136789.3287 2711628.9692,11136784.9917 2711630.1866,11136772.3335 2711631.7481,11136770.5137 2711629.6535,11136771.4839 2711606.1939,11136769.5822 2711595.5523,11136765.0783 2711589.6192,11136728.8353 2711594.1298,11136721.0276 2711602.4981,11136719.9845 2711606.16,11136724.381 2711651.0106,11136732.9665 2711650.7256,11136781.6472 2711647.1031,11136792.4702 2711646.7985))	536	园地	1696.13	245.42176856	3123.97465745
105	POLYGON ((11136309.6712 2711616.923,11136310.4043 2711625.4314,11136309.7248 2711631.0915,11136306.9069 2711640.6403,11136304.2114 2711644.5927,11136305.5593 2711644.6503,11136311.5675 2711646.6459,11136316.3777 2711647.425,11136336.9497 2711655.5418,11136344.9137 2711657.5454,11136352.1361 2711657.2767,11136360.8927 2711650.5075,11136362.1424 2711640.526,11136362.2412 2711619.0813,11136348.6604 2711621.444,11136323.8767 2711618.4716,11136309.6712 2711616.923))	534	园地	1563.9	174.696623313	1775.64383914
106	POLYGON ((11137914.9154 2711599.057,11137905.5124 2711593.3507,11137902.6809 2711588.0026,11137897.45 2711571.9733,11137892.4595 2711562.9218,11137887.4442 2711559.3421,11137880.9349 2711555.3451,11137875.0256 2711553.0726,11137871.4593 2711561.9342,11137868.6842 2711580.977,11137868.4058 2711581.9184,11137868.4185 2711582.4133,11137868.7985 2711597.7267,11137868.9103 2711617.6164,11137867.3413 2711640.3359,11137868.5029 2711646.8124,11137868.5965 2711648.1947,11137869.0585 2711655.0335,11137869.4582 2711657.0938,11137872.2289 2711667.6528,11137911.6331 2711604.3397,11137914.9154 2711599.057))	537	园地	3366.1	261.261937104	2957.86058274
107	POLYGON ((11136504.6045 2711618.5647,11136465.3632 2711608.1019,11136465.2768 2711621.7866,11136465.2497 2711627.6891,11136465.6743 2711633.2901,11136465.65 2711638.5867,11136458.8255 2711650.5097,11136456.8248 2711660.4888,11136459.2108 2711664.8882,11136467.4846 2711664.9267,11136474.7167 2711662.5397,11136497.7734 2711653.8695,11136502.6052 2711649.957,11136503.3831 2711644.3615,11136503.429 2711634.3744,11136504.6045 2711618.5647))	535	林地	1657.41	178.263671652	1881.81690069
108	POLYGON ((11136803.121 2711646.4995,11136792.4702 2711646.7985,11136781.6472 2711647.1031,11136732.9665 2711650.7256,11136724.381 2711651.0106,11136697.9678 2711652.1448,11136701.7693 2711674.5311,11136709.6426 2711682.4442,11136710.7641 2711682.5179,11136717.9982 2711676.6766,11136769.8671 2711664.3021,11136778.1823 2711662.0268,11136782.0352 2711660.9728,11136782.6991 2711660.5195,11136794.8959 2711655.3286,11136803.121 2711646.4995))	536	园地	1696.13	241.682746277	1925.78357656
109	POLYGON ((11137872.2289 2711667.6528,11137869.4582 2711657.0938,11137869.0585 2711655.0335,11137868.5965 2711648.1947,11137860.2666 2711648.1266,11137857.6613 2711647.9512,11137851.4729 2711647.9228,11137845.6129 2711647.1863,11137843.9877 2711646.4136,11137837.0001 2711642.9413,11137823.9378 2711638.2944,11137813.7427 2711635.7896,11137810.1754 2711632.442,11137800.567 2711632.2344,11137786.0437 2711638.3932,11137781.6616 2711647.002,11137778.777 2711660.6419,11137782.7533 2711669.8353,11137789.8913 2711675.9844,11137802.2428 2711681.8304,11137816.8861 2711685.0642,11137834.0324 2711686.8913,11137844.4529 2711687.4852,11137856.9062 2711694.0926,11137869.7675 2711671.6065,11137872.2289 2711667.6528))	537	园地	3366.1	251.188912746	3821.87997774
110	POLYGON ((11136827.8527 2711647.6263,11136814.1215 2711646.1904,11136803.121 2711646.4995,11136794.8959 2711655.3286,11136782.6991 2711660.5195,11136782.0352 2711660.9728,11136778.1823 2711662.0268,11136769.8671 2711664.3021,11136717.9982 2711676.6766,11136710.7641 2711682.5179,11136709.9644 2711683.1639,11136710.1331 2711690.1414,11136714.4658 2711693.807,11136720.0136 2711694.5082,11136737.8797 2711685.5368,11136768.2251 2711682.5036,11136777.5888 2711683.0344,11136776.0261 2711686.2601,11136770.0406 2711690.8781,11136768.1688 2711694.3054,11136769.4384 2711696.1548,11136777.8213 2711693.9547,11136805.4241 2711678.7604,11136811.99 2711674.2989,11136813.5073 2711671.9462,11136813.6572 2711670.0541,11136813.6385 2711666.4898,11136816.8296 2711664.0177,11136822.7107 2711657.127,11136827.8527 2711647.6263))	536	园地	1696.13	302.883891687	2410.83504569
111	POLYGON ((11136308.2824 2711673.8705,11136306.4936 2711703.0696,11136316.4181 2711703.8726,11136325.3068 2711701.1898,11136333.1493 2711696.8371,11136334.8303 2711691.2459,11136335.3086 2711685.1948,11136334.429 2711680.3482,11136333.7005 2711675.1999,11136332.5025 2711673.9835,11136308.2824 2711673.8705))	506	园地	658.32	105.426367414	747.460924405
112	POLYGON ((11137341.8236 2711722.95,11137337.6952 2711709.6422,11137302.021 2711719.3945,11137305.8366 2711732.3236,11137341.8236 2711722.95))	508	农村居民点用地	447.44	101.584760445	508.025972006
113	POLYGON ((11136242.7752 2711730.9184,11136244.3278 2711730.604,11136250.8219 2711727.69,11136253.7302 2711716.299,11136256.7799 2711698.6545,11136256.7949 2711676.2849,11136256.9502 2711651.6224,11136255.9636 2711638.1892,11136231.0306 2711630.2763,11136209.6947 2711617.5806,11136198.1746 2711606.4141,11136188.8957 2711610.5484,11136181.8374 2711615.0971,11136181.1407 2711623.5731,11136184.0343 2711634.6908,11136188.7203 2711649.0049,11136192.7352 2711662.3272,11136192.9926 2711663.1802,11136195.3399 2711664.2236,11136198.7931 2711663.6711,11136205.4244 2711661.8693,11136211.2243 2711663.1927,11136213.7775 2711665.9043,11136213.7758 2711668.3356,11136211.9783 2711672.0165,11136206.8642 2711677.7093,11136204.0974 2711683.7518,11136202.6419 2711691.115,11136201.1847 2711702.0906,11136200.2822 2711709.1069,11136202.075 2711712.4422,11136207.5281 2711716.6144,11136222.5064 2711727.5321,11136234.7965 2711732.542,11136242.7752 2711730.9184))	66	旱地	1597.63	354.001682359	6045.37139536
114	POLYGON ((11137856.9062 2711694.0926,11137844.4529 2711687.4852,11137834.0324 2711686.8913,11137816.8861 2711685.0642,11137802.2428 2711681.8304,11137789.8913 2711675.9844,11137782.7533 2711669.8353,11137778.777 2711660.6419,11137781.6616 2711647.002,11137786.0437 2711638.3932,11137800.567 2711632.2344,11137810.1754 2711632.442,11137813.7427 2711635.7896,11137823.9378 2711638.2944,11137837.0001 2711642.9413,11137843.9877 2711646.4136,11137845.6129 2711647.1863,11137851.4729 2711647.9228,11137857.6613 2711647.9512,11137860.2666 2711648.1266,11137868.5965 2711648.1947,11137868.5029 2711646.8124,11137867.3413 2711640.3359,11137868.9103 2711617.6164,11137868.7985 2711597.7267,11137868.4185 2711582.4133,11137851.4647 2711577.7464,11137834.3397 2711571.2235,11137817.4256 2711566.0117,11137804.1986 2711561.5821,11137794.7803 2711555.5315,11137791.8813 2711548.2006,11137794.5131 2711542.5335,11137800.6039 2711540.1578,11137806.044 2711537.6713,11137813.3553 2711532.0672,11137790.7717 2711527.6813,11137750.8198 2711509.5636,11137728.9472 2711504.9008,11137724.2957 2711496.07,11137723.4688 2711495.4452,11137718.2173 2711491.4797,11137657.4115 2711485.3801,11137647.8911 2711481.2464,11137645.5378 2711491.5584,11137642.7238 2711496.8891,11137640.0521 2711500.3502,11137633.5085 2711501.1217,11137629.8315 2711492.0206,11137619.9569 2711487.9675,11137619.5584 2711480.7518,11137601.7956 2711488.1512,11137594.1203 2711489.4518,11137590.6016 2711482.2218,11137589.4319 2711469.1245,11137597.1937 2711463.2822,11137598.575 2711459.0136,11137593.9808 2711454.4504,11137596.4047 2711439.338,11137597.193 2711434.4266,11137594.643 2711425.5979,11137590.0035 2711416.4924,11137578.6721 2711418.8449,11137576.4097 2711412.4222,11137576.0598 2711401.7334,11137572.1306 2711397.1732,11137573.6352 2711394.7755,11137583.6314 2711394.0199,11137599.3404 2711399.9701,11137612.0512 2711408.3111,11137615.9777 2711406.4589,11137618.425 2711393.9127,11137617.0617 2711394.4408,11137611.852 2711380.8291,11137603.0401 2711374.838,11137594.6503 2711365.7708,11137590.8766 2711358.2981,11137591.3495 2711344.0051,11137591.5627 2711322.3239,11137591.9825 2711279.7236,11137591.9326 2711279.7233,11137556.1133 2711279.2968,11137531.8422 2711280.224,11137513.5835 2711283.6603,11137498.5268 2711289.4198,11137480.1543 2711298.6929,11137479.1549 2711299.1073,11137490.8159 2711323.0917,11137497.2895 2711334.8859,11137500.4811 2711343.2451,11137501.1616 2711349.4362,11137506.6267 2711363.4134,11137516.9509 2711377.6675,11137530.4883 2711392.7506,11137535.2051 2711402.596,11137533.3442 2711424.4824,11137530.3168 2711439.3365,11137530.1191 2711440.3114,11137505.6774 2711461.427,11137501.2964 2711467.2068,11137499.6148 2711467.8628,11137498.0724 2711479.042,11137498.5482 2711484.6871,11137500.3921 2711489.4375,11137506.7537 2711493.6413,11137537.7059 2711501.2348,11137539.4066 2711503.378,11137540.0575 2711505.5548,11137540.0561 2711507.2786,11137538.8285 2711511.8225,11137534.992 2711515.8522,11137530.6639 2711520.7335,11137527.1941 2711523.3177,11137523.8626 2711524.9247,11137504.3454 2711526.5459,11137492.7568 2711528.6717,11137481.4952 2711531.2917,11137476.2706 2711534.7368,11137471.5357 2711538.6736,11137465.1904 2711545.8166,11137456.1553 2711548.2619,11137447.6745 2711542.612,11137442.4109 2711536.4137,11137443.8524 2711527.1224,11137455.4912 2711516.5294,11137458.0267 2711510.3371,11137457.1448 2711498.9104,11137462.0087 2711487.4173,11137462.9021 2711480.8797,11137464.5552 2711464.2932,11137458.5229 2711439.3353,11137454.4542 2711422.2309,11137454.1678 2711415.3566,11137453.712 2711404.4033,11137455.7008 2711398.5548,11137469.3199 2711391.4741,11137470.418 2711387.8252,11137466.2568 2711365.5916,11137462.25 2711354.9704,11137460.4512 2711349.8943,11137456.1422 2711347.551,11137441.9793 2711345.7524,11137436.0262 2711347.7448,11137432.948 2711345.7471,11137427.5505 2711333.4918,11137426.4956 2711315.7634,11137419.5761 2711316.4935,11137403.2752 2711317.1451,11137369.6548 2711315.1221,11137342.6511 2711310.0163,11137325.7378 2711308.9006,11137305.3116 2711309.3258,11137271.4615 2711312.4901,11137258.5605 2711313.7793,11137237.5059 2711316.1733,11137214.3337 2711318.1846,11137207.194 2711319.0076,11137204.4048 2711319.3293,11137264.6048 2711383.1158,11137282.2155 2711407.908,11137286.345 2711415.3515,11137299.6473 2711439.3298,11137304.506 2711448.088,11137312.2676 2711462.1123,11137312.4813 2711462.3281,11137338.4995 2711466.6728,11137356.7766 2711469.0634,11137380.8255 2711507.3908,11137384.2311 2711514.9571,11137384.1967 2711522.5086,11137424.8829 2711569.6977,11137441.0435 2711595.4998,11137458.9039 2711616.4063,11137482.476 2711675.5785,11137483.8428 2711695.2977,11137486.6132 2711701.2099,11137494.9054 2711705.3808,11137499.1227 2711704.7772,11137504.7525 2711703.3507,11137522.2668 2711695.9629,11137536.2746 2711694.5632,11137542.7501 2711698.2663,11137547.3002 2711703.9045,11137548.696 2711712.3604,11137552.3681 2711718.3515,11137559.3719 2711721.5258,11137571.803 2711721.5338,11137585.2873 2711718.8994,11137601.5721 2711716.9736,11137622.7573 2711719.8037,11137628.7394 2711725.9476,11137624.53 2711714.528,11137621.6476 2711700.5111,11137632.6035 2711685.6889,11137634.5936 2711676.742,11137633.5112 2711654.7157,11137634.2676 2711650.5169,11137637.4848 2711647.4195,11137641.8627 2711648.8696,11137644.7305 2711660.0222,11137649.642 2711685.2852,11137660.9958 2711690.4544,11137678.9212 2711693.3572,11137686.7826 2711692.9754,11137712.9657 2711693.8555,11137733.5669 2711699.9126,11137756.3135 2711704.2449,11137769.6128 2711715.9114,11137783.3455 2711721.5329,11137795.7913 2711723.6997,11137809.5259 2711726.2988,11137814.2465 2711727.1648,11137821.1131 2711730.6237,11137827.5903 2711740.7541,11137844.9659 2711714.9691,11137856.9062 2711694.0926))	500	园地	7401.19	2970.03903663	127299.606059
115	POLYGON ((11137685.0657 2711737.2358,11137685.643 2711733.8591,11137682.4725 2711723.6306,11137679.1127 2711716.4845,11137676.9309 2711703.7501,11137678.9212 2711693.3572,11137660.9958 2711690.4544,11137649.642 2711685.2852,11137644.7305 2711660.0222,11137641.8627 2711648.8696,11137637.4848 2711647.4195,11137634.2676 2711650.5169,11137633.5112 2711654.7157,11137634.5936 2711676.742,11137632.6035 2711685.6889,11137621.6476 2711700.5111,11137624.53 2711714.528,11137628.7394 2711725.9476,11137630.1016 2711729.6443,11137639.11 2711738.7176,11137644.0167 2711740.9343,11137651.555 2711744.3386,11137677.7378 2711744.3542,11137684.7688 2711738.9722,11137685.0657 2711737.2358))	488	林地	1475.56	270.073056575	3322.55630214
116	POLYGON ((11137031.0901 2711748.7546,11137030.5733 2711747.7027,11137032.2531 2711743.2581,11137038.1207 2711739.3096,11137042.788 2711736.0181,11137029.0746 2711728.8058,11136982.8806 2711704.3594,11136951.6215 2711687.8982,11136950.2756 2711693.6589,11136950.1009 2711697.2362,11136950.713 2711701.8507,11136953.768 2711707.7493,11136954.3616 2711716.1801,11136951.6362 2711724.5966,11136946.5483 2711729.967,11136957.1746 2711740.6042,11136965.2789 2711748.6723,11136979.3403 2711750.6462,11136994.3796 2711746.024,11137003.3867 2711746.7027,11137010.2559 2711748.4039,11137021.7925 2711749.0932,11137029.6886 2711750.8792,11137031.0901 2711748.7546))	486	农村居民点用地	621.18	261.996498913	3153.41554568
117	POLYGON ((11136242.7752 2711730.9184,11136234.7965 2711732.542,11136222.5064 2711727.5321,11136207.5281 2711716.6144,11136202.075 2711712.4422,11136200.2822 2711709.1069,11136201.1847 2711702.0906,11136202.6419 2711691.115,11136204.0974 2711683.7518,11136206.8642 2711677.7093,11136211.9783 2711672.0165,11136213.7758 2711668.3356,11136213.7775 2711665.9043,11136211.2243 2711663.1927,11136205.4244 2711661.8693,11136198.7931 2711663.6711,11136195.3399 2711664.2236,11136192.9926 2711663.1802,11136192.7352 2711662.3272,11136189.3347 2711666.8834,11136186.8904 2711674.1725,11136185.0714 2711684.3384,11136185.9716 2711693.243,11136188.332 2711707.3378,11136190.7662 2711715.3327,11136193.3394 2711722.906,11136199.1882 2711731.8146,11136205.4575 2711736.868,11136219.1142 2711744.0988,11136228.5202 2711748.5929,11136235.1405 2711749.8593,11136238.835 2711749.5111,11136241.0677 2711745.2358,11136242.397 2711736.6825,11136242.9577 2711733.7386,11136242.7752 2711730.9184))	66	旱地	1597.63	258.219148371	1813.94511991
118	POLYGON ((11137142.6886 2711752.1467,11137169.3662 2711748.2836,11137197.2228 2711742.8452,11137214.8959 2711739.8157,11137220.2341 2711740.1129,11137240.5241 2711741.2444,11137272.0853 2711744.4124,11137267.4109 2711714.7932,11137260.2356 2711693.0924,11137250.4735 2711676.9532,11137228.0001 2711651.9031,11137224.1368 2711639.6621,11137222.1157 2711629.2764,11137221.7526 2711619.4488,11137217.7013 2711613.6974,11137208.1176 2711611.0946,11137169.5946 2711606.8063,11137156.511 2711608.4783,11137143.5996 2711610.1275,11137131.981 2711619.0212,11137127.422 2711621.6207,11137111.5127 2711630.6902,11137097.9457 2711636.5247,11137076.9983 2711644.002,11137061.059 2711654.0257,11137053.8898 2711666.6164,11137047.9657 2711681.7362,11137046.2463 2711691.8268,11137046.1944 2711703.1872,11137047.1924 2711707.7457,11137042.788 2711736.0181,11137076.9868 2711753.6801,11137089.8907 2711758.8046,11137098.2729 2711758.8433,11137127.1832 2711754.3921,11137142.6886 2711752.1467))	473	园地	9517.43	636.509863241	25022.6809241
119	POLYGON ((11137367.7415 2711751.5226,11137399.1519 2711753.9908,11137433.7314 2711756.7076,11137434.5767 2711756.7767,11137469.5252 2711759.6554,11137489.5388 2711761.5302,11137488.2919 2711751.644,11137487.0602 2711744.482,11137485.5213 2711735.2517,11137477.1901 2711724.7172,11137465.845 2711716.7136,11137448.3208 2711711.5435,11137433.3218 2711707.3406,11137409.4708 2711702.9365,11137391.9329 2711700.7887,11137370.5361 2711712.9347,11137363.8516 2711722.9233,11137368.3626 2711739.0051,11137367.7415 2711751.5226))	461	园地	43475.25	317.742666086	5490.79386761
120	POLYGON ((11137076.9868 2711753.6801,11137042.788 2711736.0181,11137038.1207 2711739.3096,11137032.2531 2711743.2581,11137030.5733 2711747.7027,11137031.0901 2711748.7546,11137034.489 2711755.6723,11137040.551 2711761.028,11137050.8245 2711761.4731,11137058.7305 2711761.1121,11137067.1171 2711759.2422,11137071.4742 2711757.1152,11137076.9868 2711753.6801))	486	农村居民点用地	621.18	111.127679651	705.29649479
121	POLYGON ((11136306.4936 2711703.0696,11136308.2824 2711673.8705,11136302.3364 2711667.6024,11136295.5921 2711663.0362,11136293.0639 2711670.1241,11136289.8929 2711676.5121,11136285.4463 2711685.3554,11136273.6408 2711715.0956,11136265.8026 2711733.9372,11136253.4232 2711758.4273,11136294.2946 2711765.1577,11136303.6651 2711764.2096,11136307.926 2711759.4683,11136310.3195 2711753.7275,11136305.9763 2711733.4749,11136306.4936 2711703.0696))	506	园地	658.32	264.996539739	3225.32284887
